_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6985bb94d5fe59bad86ee633,false,80.01,96.63,80.01,72.92,400;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1770371988000
6985bb24d5fe59bad86ee201,false,80.81,98.06,80.81,69.75,404;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1770371876000
6985bae6d5fe59bad86edf59,false,76,95.56,76.8,64.89,380;0;0;1,time,60,-1,0,60,0,0,true,false,english,,normal,false,false,false,,1770371814000
6985ba86d5fe59bad86edb62,false,78.21,96.62,80.61,69.64,391;2;1;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1770371718000
6985ba46d5fe59bad86ed8bf,false,78.61,96.14,78.61,68.18,393;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1770371654000
6985b9eed5fe59bad86ed4c8,false,80.61,96.23,81.61,71.25,403;0;0;1,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1770371566000
6985b9a3d5fe59bad86ed187,false,61.4,96.02,64.2,54.56,307;2;5;0,time,60,-1,0,60,5,0,true,false,english,,normal,false,false,false,,1770371491000
6985b963d5fe59bad86ece91,true,83.02,98.57,83.02,71.68,415;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1770371427000
6985b869d5fe59bad86ec444,false,73.01,97.36,74.01,68.41,365;0;0;1,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1770371177000
6985b82ad5fe59bad86ec1b0,false,74.4,94.75,74.4,61.42,372;0;0;0,time,60,-1,0,60,0,0,true,false,english,,normal,false,false,false,,1770371114000
698063d1c89bd1e221cb8dd4,true,78.81,97.54,78.81,69.08,394;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1770021841000
697afcc3c89bd1e2219b4c33,true,73.21,98.13,73.21,70.66,366;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1769667779000
697afc5fc89bd1e2219b48f6,true,73.2,98.39,73.2,70.33,366;0;0;0,time,60,-1,0,60,0,0,true,false,english,,normal,false,false,false,,1769667679000
